product,quality,bytes,ship_px,psnr
crop context q95,95,1400,27.999744,44.69457046211076
crop context jp2,-1,1535,27.999744,43.203487200343325
crop wake q20,20,916,27.999744,32.66746426097873
crop wake q40,40,1068,27.999744,35.51633841243228
crop wake q60,60,1214,27.999744,37.53840521902709
crop wake q80,80,1495,27.999744,40.07324372965265
crop wake q95,95,2432,27.999744,44.51708285204316
crop wake jp2,-1,3572,27.999744,45.0305270398743
crop tight q20,20,1474,122.999808,33.17133795146691
crop tight q40,40,2059,122.999808,36.4109252819248
crop tight q60,60,2582,122.999808,38.45078291250918
crop tight q80,80,3571,122.999808,41.12423593300215
crop tight q95,95,6854,122.999808,45.44301887306119
crop tight jp2,-1,15031,122.999808,46.78682465090027
crop context q20,20,2023,122.999808,33.933965541058015
crop context q40,40,3065,122.999808,37.40401789675647
crop context q60,60,3981,122.999808,39.50996305958995
crop context q80,80,5716,122.999808,42.401508432980606
crop context q95,95,11349,122.999808,47.59589405804582
crop context jp2,-1,28790,122.999808,48.71994916363828
crop wake q20,20,3632,122.999808,34.17048885425138
crop wake q40,40,6079,122.999808,38.02231614266843
crop wake q60,60,8235,122.999808,40.07628418358384
crop wake q80,80,12261,122.999808,43.29852357720695
crop wake q95,95,25093,122.999808,49.36672184187931
crop wake jp2,-1,71093,122.999808,49.24312216889473
crop tight q20,20,1361,109.999872,32.59522373031645
crop tight q40,40,1886,109.999872,35.936232555245866
crop tight q60,60,2289,109.999872,38.001375865138385
crop tight q80,80,3129,109.999872,40.47754831962608
crop tight q95,95,5854,109.999872,45.271603019725205
crop tight jp2,-1,12006,109.999872,46.17102449532243
crop context q20,20,1738,109.999872,33.350139652261475
crop context q40,40,2536,109.999872,37.01070087741412
crop context q60,60,3246,109.999872,38.90024189202056
crop context q80,80,4538,109.999872,41.64082030300379
crop context q95,95,8873,109.999872,46.22361227425706
crop context jp2,-1,21196,109.999872,47.44429082592413
crop wake q20,20,2431,109.999872,33.65492096028086
crop wake q40,40,3797,109.999872,37.803085311352156
crop wake q60,60,5052,109.999872,39.62709463815354
crop wake q80,80,7333,109.999872,43.05661390031886
crop wake q95,95,14348,109.999872,48.41189276246813
crop wake jp2,-1,38788,109.999872,48.86100719240431
crop tight q20,20,700,25.999872000000003,30.637409743286828
crop tight q40,40,737,25.999872000000003,33.86675048278809
crop tight q60,60,773,25.999872000000003,35.842494907277185
crop tight q80,80,833,25.999872000000003,38.74096972380719
crop tight q95,95,1048,25.999872000000003,42.86869868005978
crop context q20,20,756,25.999872000000003,31.688164326726543
crop context q40,40,822,25.999872000000003,34.91734631602409
crop context q60,60,882,25.999872000000003,37.08662796230971
crop context q80,80,1000,25.999872000000003,39.310693609598765
crop context q95,95,1394,25.999872000000003,43.84941808367327
crop context jp2,-1,1305,25.999872000000003,41.94038771408988
crop wake q20,20,923,25.999872000000003,32.15482973205401
crop wake q40,40,1076,25.999872000000003,35.538098250576965
crop wake q60,60,1222,25.999872000000003,37.700988713912345
crop wake q80,80,1487,25.999872000000003,40.61151703255835
crop wake q95,95,2261,25.999872000000003,45.86386430796442
crop wake jp2,-1,3124,25.999872000000003,44.34127298125369
crop tight q20,20,1335,112.99967999999998,33.154440820045664
crop tight q40,40,1775,112.99967999999998,36.25610672677774
crop tight q60,60,2182,112.99967999999998,38.286243173083186
crop tight q80,80,2986,112.99967999999998,40.82363825524516
crop tight q95,95,5526,112.99967999999998,45.06906089247069
crop tight jp2,-1,11522,112.99967999999998,46.805237503874075
crop context q20,20,1602,112.99967999999998,34.25783503113318
crop context q40,40,2325,112.99967999999998,36.993546645256025
crop context q60,60,2961,112.99967999999998,39.02103115995209
crop context q80,80,4155,112.99967999999998,41.93178464572853
crop context q95,95,8079,112.99967999999998,46.364865146559275
crop context jp2,-1,19462,112.99967999999998,48.29136838093927
crop wake q20,20,2272,112.99967999999998,35.26226940392219
crop wake q40,40,3644,112.99967999999998,37.546087737041155
crop wake q60,60,4866,112.99967999999998,39.7379320942739
crop wake q80,80,7209,112.99967999999998,42.91981833972407
crop wake q95,95,14819,112.99967999999998,47.44734980587434
crop wake jp2,-1,41318,112.99967999999998,49.42078464542963
thumbnail 96px,60,990,,
whole tile q40,40,13735,,39.25462079817217
whole tile q60,60,15596,,41.42523384079886
crop tight q20,20,1257,80.000256,27.15836538076861
crop tight q40,40,1591,80.000256,29.254728205907703
crop tight q60,60,1906,80.000256,30.695883776405495
crop tight q80,80,2632,80.000256,34.051774580855735
crop tight q95,95,4614,80.000256,42.94424940352912
crop tight jp2,-1,6416,80.000256,39.44524126710039
crop context q20,20,1520,80.000256,29.136163751001945
crop context q40,40,1914,80.000256,31.35390455674678
crop context q60,60,2328,80.000256,32.83334102583668
crop context q80,80,3322,80.000256,35.90281042683506
crop context q95,95,6215,80.000256,44.869278151853365
crop context jp2,-1,12400,80.000256,46.76662706958621
crop wake q20,20,2075,80.000256,31.507509258357302
crop wake q40,40,2605,80.000256,33.876541541027166
crop wake q60,60,3120,80.000256,35.56533101516563
crop wake q80,80,4562,80.000256,38.46876573402095
crop wake q95,95,9979,80.000256,46.539529480234805
crop wake jp2,-1,30141,80.000256,53.55226695368544
crop tight q20,20,667,12.999936000000002,23.158426965858162
crop tight q40,40,687,12.999936000000002,26.51096456729267
crop tight q60,60,702,12.999936000000002,27.86508185072911
crop tight q80,80,737,12.999936000000002,30.96636908040814
crop tight q95,95,831,12.999936000000002,40.07732115920797
crop context q20,20,686,12.999936000000002,24.729817641904933
crop context q40,40,714,12.999936000000002,27.28754364759622
crop context q60,60,736,12.999936000000002,29.013946362507884
crop context q80,80,785,12.999936000000002,32.733771027950986
crop context q95,95,957,12.999936000000002,40.32583045391705
crop wake q20,20,710,12.999936000000002,26.82156373228193
crop wake q40,40,756,12.999936000000002,30.004237414635497
crop wake q60,60,788,12.999936000000002,32.13636545204737
crop wake q80,80,855,12.999936000000002,35.18200979943682
crop wake q95,95,1073,12.999936000000002,43.383217308862505
crop wake jp2,-1,784,12.999936000000002,33.95180708243845
crop tight q20,20,2232,155.000064,28.589901474477138
crop tight q40,40,2837,155.000064,30.96570903063569
crop tight q60,60,3460,155.000064,32.87208189257378
crop tight q80,80,4887,155.000064,37.288253974187406
crop tight q95,95,9130,155.000064,46.260391419948554
crop tight jp2,-1,23676,155.000064,51.58151792379405
crop context q20,20,2579,155.000064,30.482492104838997
crop context q40,40,3180,155.000064,33.02591733320949
crop context q60,60,3811,155.000064,34.870712197169325
crop context q80,80,5386,155.000064,38.922959682737456
crop context q95,95,11163,155.000064,48.12862196960468
crop context jp2,-1,39804,155.000064,60.043855994790796
crop wake q20,20,3537,155.000064,32.93804605017029
crop wake q40,40,4078,155.000064,35.7233678874439
crop wake q60,60,4677,155.000064,37.824808118289475
