image,size_px,visible_fraction,visible_px,found,best_iou
59c89fe1a.jpg,114.000384,0.6,19.99974399999998,True,0.9246287191657484
59c89fe1a.jpg,114.000384,0.7,23.99974399999998,True,0.9699275164864255
59c89fe1a.jpg,114.000384,0.8,26.99974399999998,True,0.9489310062984353
59c89fe1a.jpg,114.000384,0.9,30.99974399999998,True,0.90560861338941
59c89fe1a.jpg,114.000384,1.0,33.99974399999998,True,0.8948171244798266
665dd4cd2.jpg,204.0,0.2,14.999679999999955,False,0.1931862365339491
665dd4cd2.jpg,204.0,0.3,22.999679999999955,True,0.9103958508864721
665dd4cd2.jpg,204.0,0.4,30.999679999999955,True,0.859398010480607
665dd4cd2.jpg,204.0,0.5,38.999679999999955,True,0.9290428206843254
665dd4cd2.jpg,204.0,0.6,45.999679999999955,True,0.9689449403931191
665dd4cd2.jpg,204.0,0.7,53.999679999999955,True,0.961075891330506
665dd4cd2.jpg,204.0,0.8,61.999679999999955,True,0.9615305523921671
665dd4cd2.jpg,204.0,0.9,68.99967999999996,True,0.9645748978226705
665dd4cd2.jpg,204.0,1.0,76.99967999999996,True,0.9522567171142743
43f4acdc2.jpg,164.000256,0.2,33.00025599999992,False,0.2743570535390249
43f4acdc2.jpg,164.000256,0.3,49.00025599999992,False,0.42058091321111885
43f4acdc2.jpg,164.000256,0.4,66.00025599999992,True,0.5051210446661409
43f4acdc2.jpg,164.000256,0.5,82.00025599999992,True,0.5939790999670947
43f4acdc2.jpg,164.000256,0.6,98.00025599999992,True,0.6643229705060246
43f4acdc2.jpg,164.000256,0.7,115.00025599999992,True,0.739272470837916
43f4acdc2.jpg,164.000256,0.8,131.00025599999992,True,0.7934526498087399
43f4acdc2.jpg,164.000256,0.9,148.00025599999992,True,0.8919374674103646
43f4acdc2.jpg,164.000256,1.0,164.00025599999992,True,0.8582579446083244
0e845b123.jpg,38.999808,0.2,7.999744000000003,False,0.0
0e845b123.jpg,38.999808,0.3,10.999744000000003,False,0.0
0e845b123.jpg,38.999808,0.4,14.999744000000003,False,0.0
