policy,scale,rise_h,capacity_MB,queue_items,queue_MB,greedy,optimum,bound,gap,buckets,bucket_bytes,resolution,valid,tiles,rep
FIFO,operational,35.282123580833336,47.590179273542404,455,1.2457665676216545,241.0,241.0,240.99999999999727,0.0,4000,11897.5448183856,0.003362038186079107,True,40000,0
FIFO,small,35.282123580833336,1.204806612977754,25,0.031538183335476366,11.16,11.16,11.159999999999997,0.0,60240,20.0,2.0,True,40000,0
Value-greedy (ours),operational,0.09089067972222223,24.870337162528504,166,0.3249239181604893,66.04,66.04,66.04000000000053,0.0,4000,6217.584290632126,0.006433366743458061,True,40000,1
Value-greedy (ours),small,0.09089067972222223,1.3173285132441026,25,0.017210524297704734,9.15,9.15,9.149999999999997,0.0,65866,20.0,2.0,True,40000,1
Value-greedy (ours),operational,11.60635736611111,60.079759210938946,21939,51.22597695284498,10537.05,10537.05,10537.050000003035,0.0,4000,15019.939802734736,0.002663126518837116,True,40000,1
Value-greedy (ours),small,11.60635736611111,0.0635530035976103,25,0.054187379249391314,6.17,6.17,6.169999999999996,0.0,3177,20.0,2.0,True,40000,1
Value-greedy (ours),operational,13.210484531111112,8.577590168261082,3087,7.529035031211156,1440.36,1440.36,1440.3599999999824,0.0,4000,2144.3975420652705,0.018653257717072356,True,40000,1
Value-greedy (ours),small,13.210484531111112,0.04611505248841562,50,0.040477784417369746,27.31,27.31000000000003,27.31000000000005,1.1707954269207058e-15,2305,20.0,2.0,True,40000,1
Value-greedy (ours),operational,22.197338734166667,29.981995484358475,17266,40.157264937839756,8114.47,8114.47,8158.080000002381,0.0,3999,7495.498871089619,0.005336536058231066,True,40000,1
Value-greedy (ours),small,22.197338734166667,0.055686269860610496,50,0.07458503865625624,18.16,18.16000000000002,18.32000000000005,1.1738040788988426e-15,2784,20.0,2.0,True,40000,1
Value-greedy (ours),operational,23.749109346666668,38.801440841933804,8505,18.078947004886185,1514.59,1514.59,1514.589999999943,0.0,4000,9700.36021048345,0.00412355821145393,True,40000,1
Value-greedy (ours),small,23.749109346666668,0.11765123432239179,25,0.05481782078760456,4.18,4.18,4.179999999999996,0.0,5882,20.0,2.0,True,40000,1
Value-greedy (ours),operational,35.282123580833336,47.590179273542404,454,0.9790329087079142,175.86,175.8600000000002,175.8599999999974,1.1313088025294427e-15,4000,11897.5448183856,0.003362038186079107,True,40000,1
Value-greedy (ours),small,35.282123580833336,1.1280940730515574,25,0.023207334758871875,2.18,2.18,2.179999999999996,0.0,56404,20.0,2.0,True,40000,1
FIFO,operational,0.09089067972222223,24.870337162528504,166,0.3249239181604893,66.04,66.04,66.04000000000053,0.0,4000,6217.584290632126,0.006433366743458061,True,40000,1
FIFO,small,0.09089067972222223,1.3173285132441026,25,0.017210524297704734,9.15,9.15,9.149999999999997,0.0,65866,20.0,2.0,True,40000,1
FIFO,operational,11.60635736611111,60.079759210938946,21939,51.22597695284498,10537.05,10537.05,10537.050000003035,0.0,4000,15019.939802734736,0.002663126518837116,True,40000,1
FIFO,small,11.60635736611111,0.0635530035976103,25,0.054187379249391314,6.17,6.17,6.169999999999996,0.0,3177,20.0,2.0,True,40000,1
FIFO,operational,13.210484531111112,8.577590168261082,3087,7.529035031211156,1440.36,1440.36,1440.3599999999824,0.0,4000,2144.3975420652705,0.018653257717072356,True,40000,1
FIFO,small,13.210484531111112,0.04611505248841562,50,0.040477784417369746,27.31,27.31000000000003,27.31000000000005,1.1707954269207058e-15,2305,20.0,2.0,True,40000,1
FIFO,operational,22.197338734166667,29.981995484358475,17266,40.157264937839756,6034.24,6187.003565307039,8158.080000002381,0.024691042068190262,3999,7495.498871089619,0.005336536058231066,True,40000,1
FIFO,small,22.197338734166667,0.055686269860610496,50,0.07458503865625624,10.19,18.16000000000002,18.32000000000005,0.4388766519823795,2784,20.0,2.0,True,40000,1
FIFO,operational,23.749109346666668,38.801440841933804,7564,18.079527314885944,3594.82,3594.82,3594.820000001044,0.0,4000,9700.36021048345,0.00412355821145393,True,40000,1
FIFO,small,23.749109346666668,0.18036790766680766,25,0.08404240777230769,13.18,13.18,13.179999999999996,0.0,9018,20.0,2.0,True,40000,1
FIFO,operational,35.282123580833336,47.590179273542404,454,0.9790329087079142,175.86,175.8600000000002,175.8599999999974,1.1313088025294427e-15,4000,11897.5448183856,0.003362038186079107,True,40000,1
FIFO,small,35.282123580833336,1.1280940730515574,25,0.023207334758871875,2.18,2.18,2.179999999999996,0.0,56404,20.0,2.0,True,40000,1
Value-greedy (ours),operational,0.09089067972222223,24.870337162528504,358,0.8536980424956467,151.46,151.4600000000004,151.45999999999776,2.6271222238588078e-15,4000,6217.584290632126,0.006433366743458061,True,80000,0
Value-greedy (ours),small,0.09089067972222223,1.6028053068216708,25,0.05501782078760457,9.2,9.2,9.199999999999996,0.0,80140,20.0,2.0,True,80000,0
