image,quality,bytes,psnr_db,ships,found,n_pred
1603a3ccb.jpg,q20,27065,33.68126400318344,1,1,2
1635616e4.jpg,original,142228,inf,2,2,3
1635616e4.jpg,q60,48121,39.741836009920036,2,2,3
1635616e4.jpg,q40,37515,37.38451268975656,2,2,3
1635616e4.jpg,q30,30984,36.40307229792748,2,2,3
1635616e4.jpg,q20,22834,34.21552291057868,2,2,2
1721f5d2f.jpg,original,305190,inf,1,0,0
1721f5d2f.jpg,q60,124517,34.05587869712963,1,0,0
1721f5d2f.jpg,q40,101237,31.939692906765124,1,0,0
1721f5d2f.jpg,q30,89068,30.78791194588152,1,0,0
1721f5d2f.jpg,q20,72014,29.044244633570464,1,0,0
17d340b7c.jpg,original,125413,inf,0,0,0
17d340b7c.jpg,q60,42684,40.761452843557244,0,0,0
17d340b7c.jpg,q40,33538,38.85027375152208,0,0,0
17d340b7c.jpg,q30,28004,37.52985391364447,0,0,0
17d340b7c.jpg,q20,20770,35.28396689870165,0,0,0
1818c134a.jpg,original,379615,inf,1,1,1
1818c134a.jpg,q60,134904,27.274871358250724,1,1,1
1818c134a.jpg,q40,106025,25.364401045841586,1,1,1
1818c134a.jpg,q30,89223,24.65197852028801,1,1,1
1818c134a.jpg,q20,63981,23.59703258112056,1,1,1
192bd6793.jpg,original,198232,inf,0,0,0
192bd6793.jpg,q60,74921,37.92019011930214,0,0,0
192bd6793.jpg,q40,61589,35.941732510231766,0,0,0
192bd6793.jpg,q30,53497,34.682704360145316,0,0,0
192bd6793.jpg,q20,42171,32.32628868275837,0,0,0
196ee962f.jpg,original,247999,inf,1,1,1
196ee962f.jpg,q60,96095,35.185051642373615,1,1,1
196ee962f.jpg,q40,77241,33.162647920394036,1,1,2
196ee962f.jpg,q30,67254,32.07900716590653,1,1,1
196ee962f.jpg,q20,53419,30.23231392864965,1,1,1
19acbe356.jpg,original,176395,inf,2,2,2
19acbe356.jpg,q60,64036,38.3791475551998,2,2,2
19acbe356.jpg,q40,50935,36.07011658574143,2,2,2
19acbe356.jpg,q30,43098,34.821314602518626,2,2,4
19acbe356.jpg,q20,31868,32.939039705046255,2,2,2
19e2fd98c.jpg,original,284738,inf,1,1,2
19e2fd98c.jpg,q60,95937,30.879420524615302,1,1,1
19e2fd98c.jpg,q40,77100,29.487429762034118,1,1,3
19e2fd98c.jpg,q30,65501,28.84876552520488,1,0,1
19e2fd98c.jpg,q20,48715,27.569875333042482,1,1,1
1a116c81a.jpg,original,224996,inf,3,2,3
1a116c81a.jpg,q60,87239,36.472403873572695,3,2,3
1a116c81a.jpg,q40,70935,34.48813050113162,3,2,4
1a116c81a.jpg,q30,62587,33.249993736957705,3,2,4
1a116c81a.jpg,q20,48946,31.30307450597516,3,2,3
1bfbbc7fe.jpg,original,210424,inf,4,3,3
1bfbbc7fe.jpg,q60,82103,37.28628593057699,4,3,3
1bfbbc7fe.jpg,q40,66618,35.058660215902485,4,3,3
1bfbbc7fe.jpg,q30,58537,33.65074103028483,4,3,3
1bfbbc7fe.jpg,q20,45287,31.620904894387646,4,3,3
1c4fef539.jpg,original,225295,inf,0,0,0
1c4fef539.jpg,q60,85329,35.91520621491926,0,0,0
1c4fef539.jpg,q40,66409,33.90172395690075,0,0,0
1c4fef539.jpg,q30,56553,32.835959721636115,0,0,0
1c4fef539.jpg,q20,44272,31.060505503015058,0,0,0
1e4407baa.jpg,original,226671,inf,1,1,1
1e4407baa.jpg,q60,88670,36.777165349014616,1,1,1
1e4407baa.jpg,q40,71549,34.74122874239991,1,1,1
1e4407baa.jpg,q30,62109,33.40538721503121,1,1,1
1e4407baa.jpg,q20,48789,31.590447544463785,1,1,1
1ec5ea69b.jpg,original,263932,inf,4,4,5
1ec5ea69b.jpg,q60,103444,34.94003733846108,4,4,5
1ec5ea69b.jpg,q40,83571,32.92875455908441,4,3,4
1ec5ea69b.jpg,q30,73631,31.860948022172476,4,4,6
1ec5ea69b.jpg,q20,58776,29.978566436582128,4,4,4
1f2defddc.jpg,original,323431,inf,0,0,0
1f2defddc.jpg,q60,104019,28.205541655892127,0,0,0
1f2defddc.jpg,q40,80513,26.647665964462654,0,0,0
1f2defddc.jpg,q30,67560,26.030950068423657,0,0,0
1f2defddc.jpg,q20,45853,25.066576895219757,0,0,0
20d26c027.jpg,original,314847,inf,6,5,5
20d26c027.jpg,q60,103769,28.52172834781797,6,5,5
20d26c027.jpg,q40,80480,26.941086362373866,6,5,5
20d26c027.jpg,q30,66706,26.345001645807514,6,5,5
20d26c027.jpg,q20,45167,25.29406241615397,6,5,6
20d79dd2f.jpg,original,209072,inf,2,2,2
20d79dd2f.jpg,q60,79561,37.08271904227188,2,2,2
20d79dd2f.jpg,q40,64308,34.918840138407916,2,2,2
20d79dd2f.jpg,q30,56093,33.69975587688883,2,2,2
20d79dd2f.jpg,q20,43555,31.626787218952288,2,2,2
21125597b.jpg,original,294456,inf,1,1,1
21125597b.jpg,q60,100851,30.639577112466956,1,1,2
21125597b.jpg,q40,79625,28.912516432108628,1,1,1
21125597b.jpg,q30,68222,28.14181872962056,1,1,1
21125597b.jpg,q20,52414,26.864216082429717,1,1,2
21133ac70.jpg,original,163893,inf,7,7,8
21133ac70.jpg,q60,49159,35.12841725304743,7,7,8
21133ac70.jpg,q40,37786,33.49593707555155,7,7,9
21133ac70.jpg,q30,32091,32.7101735019193,7,7,9
21133ac70.jpg,q20,25283,31.347508573316173,7,7,8
214d4bf28.jpg,original,276517,inf,1,1,1
214d4bf28.jpg,q60,109299,34.51176283257208,1,1,1
214d4bf28.jpg,q40,88502,32.49663430555538,1,1,1
214d4bf28.jpg,q30,77904,31.43368765254861,1,1,1
214d4bf28.jpg,q20,62456,29.60375465615717,1,1,1
21afbfaa5.jpg,original,396014,inf,1,1,1
21afbfaa5.jpg,q60,142356,27.11938604401866,1,1,1
21afbfaa5.jpg,q40,108583,25.323444279953456,1,1,1
21afbfaa5.jpg,q30,90630,24.545157941396262,1,1,1
21afbfaa5.jpg,q20,64551,23.364239005558048,1,1,1
2241c0623.jpg,original,112180,inf,0,0,0
2241c0623.jpg,q60,35294,41.69692663197325,0,0,0
2241c0623.jpg,q40,26113,39.53492041862885,0,0,0
2241c0623.jpg,q30,21468,38.43903395333376,0,0,0
2241c0623.jpg,q20,16309,35.85579524399638,0,0,0
2822a6b62.jpg,original,238347,inf,1,1,1
2822a6b62.jpg,q60,94512,36.51598033739842,1,1,1
2822a6b62.jpg,q40,75649,34.29590223731393,1,1,1
2822a6b62.jpg,q30,65785,33.046612207333645,1,1,1
2822a6b62.jpg,q20,52747,31.176735502053074,1,1,1
28d73ba1c.jpg,original,137196,inf,1,1,2
28d73ba1c.jpg,q60,44683,39.98278116398944,1,1,2
28d73ba1c.jpg,q40,33235,37.894433653764914,1,1,1
28d73ba1c.jpg,q30,27626,36.52479867275154,1,1,1
28d73ba1c.jpg,q20,20498,34.98332951160372,1,1,1
2a0f1a5cd.jpg,original,252993,inf,1,1,1
2a0f1a5cd.jpg,q60,98932,35.42522296680248,1,1,1
2a0f1a5cd.jpg,q40,80543,33.522552534821514,1,1,1
2a0f1a5cd.jpg,q30,70960,32.33327561268972,1,1,1
2a0f1a5cd.jpg,q20,56399,30.574426193137793,1,1,1
2aea51424.jpg,original,282126,inf,5,5,5
2aea51424.jpg,q60,92621,30.545355600739992,5,5,5
2aea51424.jpg,q40,73978,29.192128748959078,5,5,5
2aea51424.jpg,q30,62100,28.564912764918738,5,5,5
2aea51424.jpg,q20,44837,27.37764642367027,5,5,5
2bcb022a0.jpg,original,218057,inf,10,9,13
2bcb022a0.jpg,q60,85487,37.043848483078996,10,8,14
2bcb022a0.jpg,q40,69734,34.85872734631158,10,8,12
2bcb022a0.jpg,q30,61585,33.582140062483845,10,8,10
2bcb022a0.jpg,q20,48243,31.26102538805188,10,8,12
2cd9a46b1.jpg,original,240761,inf,1,1,1
2cd9a46b1.jpg,q60,94916,35.96263774925386,1,1,1
2cd9a46b1.jpg,q40,77500,33.94771841385291,1,1,1
2cd9a46b1.jpg,q30,68303,32.85370277124316,1,1,1
2cd9a46b1.jpg,q20,54290,30.590677973851182,1,1,1
313b581e9.jpg,original,129225,inf,2,2,2
313b581e9.jpg,q60,40849,40.07389727020093,2,2,2
313b581e9.jpg,q40,31171,38.077404558859065,2,2,2
313b581e9.jpg,q30,24902,36.99085092229244,2,2,2
313b581e9.jpg,q20,18017,34.66376535105653,2,2,2
3147eef20.jpg,original,91668,inf,1,1,2
3147eef20.jpg,q60,25813,41.746989517452576,1,1,2
3147eef20.jpg,q40,20734,40.19416850293485,1,1,2
3147eef20.jpg,q30,17994,39.14353823177311,1,1,2
3147eef20.jpg,q20,14660,36.411527150475436,1,1,1
33bf5dcb6.jpg,original,205166,inf,1,1,1
33bf5dcb6.jpg,q60,80436,37.57956311312804,1,1,1
33bf5dcb6.jpg,q40,65685,35.49732013365942,1,1,1
33bf5dcb6.jpg,q30,57554,33.906484154508505,1,1,1
33bf5dcb6.jpg,q20,44983,31.96586602495274,1,1,1
3522d78c7.jpg,original,251802,inf,1,1,1
