product,quality,bytes,psnr,n_ships
whole tile,30,89827,30.734678219916475,
whole tile,40,102001,31.880216766635282,
whole tile,50,116037,33.09098138907675,
whole tile,60,125399,33.98435371665892,
whole tile,80,184273,39.67068327997804,
ROI mosaic x1.5,60,1423,,1.0
ROI mosaic x1.5,80,1753,,1.0
thumbnail 48px,30,775,,
thumbnail 48px,60,858,,
thumbnail 48px,80,980,,
thumbnail 64px,30,859,,
thumbnail 64px,60,995,,
thumbnail 64px,80,1189,,
thumbnail 96px,30,1060,,
thumbnail 96px,60,1313,,
thumbnail 96px,80,1676,,
thumbnail 128px,30,1303,,
thumbnail 128px,60,1697,,
thumbnail 128px,80,2321,,
whole tile,30,20510,37.79533576894171,
whole tile,40,26066,39.12325780825143,
whole tile,50,32562,40.477016181878966,
whole tile,60,34288,41.08022350694714,
whole tile,80,66049,48.00492495810846,
ROI mosaic x1.5,60,1852,,1.0
ROI mosaic x1.5,80,2539,,1.0
thumbnail 48px,30,702,,
thumbnail 48px,60,751,,
thumbnail 48px,80,844,,
thumbnail 64px,30,748,,
thumbnail 64px,60,847,,
thumbnail 64px,80,1002,,
thumbnail 96px,30,883,,
thumbnail 96px,60,1104,,
thumbnail 96px,80,1483,,
thumbnail 128px,30,1083,,
thumbnail 128px,60,1530,,
thumbnail 128px,80,2294,,
whole tile,30,32188,34.09682764354489,
whole tile,40,40008,34.805152509278116,
whole tile,50,49890,35.88907179715636,
whole tile,60,52275,36.43572968570206,
whole tile,80,100118,44.42227095164617,
ROI mosaic x1.5,60,3333,,2.0
ROI mosaic x1.5,80,4426,,2.0
thumbnail 48px,30,865,,
thumbnail 48px,60,1022,,
thumbnail 48px,80,1254,,
thumbnail 64px,30,1027,,
thumbnail 64px,60,1300,,
thumbnail 64px,80,1711,,
thumbnail 96px,30,1540,,
thumbnail 96px,60,2194,,
thumbnail 96px,80,3187,,
thumbnail 128px,30,2324,,
thumbnail 128px,60,3640,,
thumbnail 128px,80,5664,,
whole tile,30,72724,32.39680790962676,
whole tile,40,83120,33.51836095407227,
whole tile,50,94351,34.77069153792987,
whole tile,60,101453,35.58444714211655,
whole tile,80,151824,42.07417486658397,
ROI mosaic x1.5,60,797,,1.0
ROI mosaic x1.5,80,862,,1.0
thumbnail 48px,30,928,,
thumbnail 48px,60,1121,,
thumbnail 48px,80,1361,,
thumbnail 64px,30,1144,,
thumbnail 64px,60,1454,,
thumbnail 64px,80,1861,,
thumbnail 96px,30,1697,,
thumbnail 96px,60,2319,,
thumbnail 96px,80,3154,,
thumbnail 128px,30,2378,,
thumbnail 128px,60,3402,,
thumbnail 128px,80,4846,,
whole tile,30,37689,35.04816234821404,
whole tile,40,45089,36.24985676997507,
whole tile,50,53697,37.44164096412788,
whole tile,60,57715,38.38272005294558,
whole tile,80,96104,44.12019517397254,
ROI mosaic x1.5,60,1751,,1.0
ROI mosaic x1.5,80,2366,,1.0
thumbnail 48px,30,916,,
thumbnail 48px,60,1115,,
thumbnail 48px,80,1339,,
thumbnail 64px,30,1120,,
thumbnail 64px,60,1414,,
thumbnail 64px,80,1828,,
thumbnail 96px,30,1617,,
thumbnail 96px,60,2235,,
thumbnail 96px,80,3201,,
thumbnail 128px,30,2311,,
thumbnail 128px,60,3495,,
thumbnail 128px,80,5338,,
whole tile,30,57503,33.91779913561848,
whole tile,40,65977,35.29037476387812,
whole tile,50,75527,36.600085927342604,
whole tile,60,80924,37.49943333359429,
whole tile,80,122802,43.948761911524706,
ROI mosaic x1.5,60,1765,,1.0
ROI mosaic x1.5,80,2230,,1.0
thumbnail 48px,30,689,,
thumbnail 48px,60,710,,
thumbnail 48px,80,747,,
thumbnail 64px,30,722,,
thumbnail 64px,60,753,,
thumbnail 64px,80,808,,
thumbnail 96px,30,838,,
thumbnail 96px,60,887,,
thumbnail 96px,80,996,,
thumbnail 128px,30,984,,
thumbnail 128px,60,1044,,
thumbnail 128px,80,1247,,
whole tile,30,15256,38.734746326435605,
whole tile,40,20728,39.59096589692213,
whole tile,50,27492,40.87812280484661,
whole tile,60,28885,41.632952051961965,
whole tile,80,61837,48.69360709265507,
ROI mosaic x1.5,60,6809,,1.0
ROI mosaic x1.5,80,10635,,1.0
thumbnail 48px,30,698,,
thumbnail 48px,60,734,,
thumbnail 48px,80,803,,
thumbnail 64px,30,737,,
thumbnail 64px,60,792,,
thumbnail 64px,80,891,,
thumbnail 96px,30,841,,
thumbnail 96px,60,934,,
thumbnail 96px,80,1144,,
thumbnail 128px,30,993,,
thumbnail 128px,60,1150,,
thumbnail 128px,80,1444,,
whole tile,30,13741,38.98266527736689,
whole tile,40,18120,39.997865542559985,
whole tile,50,23673,40.45978586667851,
whole tile,60,25098,41.78869584139727,
whole tile,80,55405,49.53516323471832,
ROI mosaic x1.5,60,11282,,4.0
ROI mosaic x1.5,80,17356,,4.0
thumbnail 48px,30,745,,
thumbnail 48px,60,808,,
thumbnail 48px,80,906,,
thumbnail 64px,30,814,,
thumbnail 64px,60,910,,
thumbnail 64px,80,1085,,
thumbnail 96px,30,1027,,
thumbnail 96px,60,1242,,
thumbnail 96px,80,1559,,
thumbnail 128px,30,1297,,
thumbnail 128px,60,1633,,
thumbnail 128px,80,2158,,
whole tile,30,19516,37.93913914852009,
whole tile,40,24736,38.9928825118406,
whole tile,50,30724,40.32770585306566,
whole tile,60,32524,41.027233829873595,
whole tile,80,62389,47.79388243505615,
ROI mosaic x1.5,60,2099,,2.0
ROI mosaic x1.5,80,2591,,2.0
thumbnail 48px,30,671,,
thumbnail 48px,60,679,,
thumbnail 48px,80,692,,
thumbnail 64px,30,706,,
thumbnail 64px,60,717,,
thumbnail 64px,80,745,,
thumbnail 96px,30,798,,
thumbnail 96px,60,808,,
thumbnail 96px,80,885,,
thumbnail 128px,30,929,,
thumbnail 128px,60,956,,
thumbnail 128px,80,1205,,
whole tile,30,27890,36.49274455096135,
whole tile,40,34078,37.81116536079239,
whole tile,50,41775,39.48456233750847,
whole tile,60,45637,40.33764845158587,
whole tile,80,77017,45.50083718399356,
ROI mosaic x1.5,60,2702,,1.0
ROI mosaic x1.5,80,3732,,1.0
thumbnail 48px,30,766,,
thumbnail 48px,60,862,,
thumbnail 48px,80,996,,
thumbnail 64px,30,853,,
thumbnail 64px,60,1016,,
thumbnail 64px,80,1245,,
