image,context,cloud_frac,edge_density,big_blob_frac,n_candidates,prefilter_ms,n_fp_0.05,n_tp_0.05,n_fp_0.25,n_tp_0.25,n_fp_0.4,n_tp_0.4,n_ships,ctx3
55de990d5.jpg,candidates,0.0,0.0013885498046875,0.0,1,84.76009999867529,0,3,0,2,0,0,1,ships
55e23a0ba.jpg,candidates,0.0,0.10222032335069445,0.0,50,85.1558999856934,4,13,1,8,1,7,15,ships
55e450dda.jpg,land_coast,0.0,0.24107191297743055,0.0,0,88.21349998470396,0,0,0,0,0,0,0,coast
55e96dc18.jpg,candidates,0.0,0.0007375081380208334,0.0,2,93.991499976255,0,3,0,1,0,0,1,ships
55eff49e8.jpg,candidates,0.0,0.006841023763020833,0.0,59,83.3491999655962,1,1,0,1,0,1,1,ships
55f15197a.jpg,candidates,0.0,0.001895480685763889,0.0,6,80.92220011167228,0,1,0,1,0,1,1,ships
55f238f2c.jpg,candidates,0.0,0.009258694118923612,0.0,14,96.30970004945993,0,2,0,1,0,1,2,ships
56178ee20.jpg,land_coast,0.0,0.17349073621961805,0.0,49,91.9875999679789,12,15,4,6,3,6,6,coast
5619ffe4d.jpg,candidates,0.0,0.0021107991536458335,0.0,3,86.88079996500164,0,3,0,2,0,1,1,ships
5623df1aa.jpg,land_coast,0.0,0.1346011691623264,0.0,1,94.47030001319945,2,2,0,1,0,0,1,coast
56317f238.jpg,candidates,0.0,0.00031873914930555556,0.0,1,105.37060000933707,0,1,0,1,0,1,1,ships
56389fabe.jpg,candidates,0.0,2.5431315104166668e-05,0.0,3,80.34679992124438,0,4,0,1,0,1,1,ships
56431b49c.jpg,empty_sea,0.0,0.0,0.0,0,79.61809996049851,0,0,0,0,0,0,0,empty
5648b7b15.jpg,candidates,0.0,0.004579332139756944,0.0,17,84.09100002609193,2,2,0,2,0,0,1,ships
564e51762.jpg,candidates,0.0,0.00048828125,0.0,3,84.9144000094384,0,1,0,1,0,1,1,ships
565df2a34.jpg,land_coast,0.7350701226128472,0.17393767705382437,0.0,3,69.7683000471443,3,1,0,0,0,0,2,coast
566a63bf9.jpg,candidates,0.0843471950954861,0.023040895054486067,0.0,16,78.035399899818,0,0,0,0,0,0,1,ships
5676dac91.jpg,candidates,0.030309041341145832,0.005656667187991488,0.0,81,98.1065999949351,2,14,1,9,1,7,14,ships
569d2bbea.jpg,candidates,0.0,0.034829033745659724,0.0,9,76.32710004691035,0,4,0,2,0,1,1,ships
56b0644e9.jpg,candidates,0.0,4.916720920138889e-05,0.0,1,99.59510003682226,0,2,0,1,0,1,1,ships
56c76ee08.jpg,candidates,0.0,0.0014631483289930555,0.0,12,81.7061000270769,9,9,3,5,0,4,6,ships
56d712106.jpg,candidates,0.0,2.8822157118055555e-05,0.0,1,94.24799995031208,0,2,0,0,0,0,1,ships
56eb29104.jpg,candidates,0.0,0.00024074978298611112,0.0,2,76.95430004969239,0,2,0,1,0,1,1,ships
5704b4870.jpg,land_coast,0.0,0.1734246148003472,0.0,53,92.64000004623085,2,5,0,4,0,3,7,coast
570fec891.jpg,land_coast,0.0,0.026363796657986112,0.10443623860677083,74,83.8274999987334,1,3,1,1,1,1,1,coast
