image,size_px,straddles,found_whole,found_grid,found_sahi,found_edge,slices_whole,slices_grid,slices_sahi,slices_edge
ae1853ca8.jpg,34.000128,False,False,False,False,False,,,,
ae1853ca8.jpg,20.000256,False,True,True,True,True,1.0,4.0,9.0,8.0
b1320fe27.jpg,205.99987199999998,False,True,True,True,True,1.0,4.0,9.0,6.0
b22fbb23a.jpg,169.99987199999998,False,True,True,True,True,1.0,4.0,9.0,4.0
b25cf48fa.jpg,19.000320000000002,False,True,True,True,True,,,,
b25cf48fa.jpg,12.0,False,False,False,True,False,,,,
b25cf48fa.jpg,42.000384,False,True,True,True,True,,,,
b25cf48fa.jpg,10.000128,False,False,True,True,True,1.0,4.0,9.0,6.0
b265c10ce.jpg,52.99968,False,True,True,True,True,,,,
b265c10ce.jpg,45.000192,False,True,True,True,True,,,,
b265c10ce.jpg,221.999616,False,True,True,True,True,,,,
b265c10ce.jpg,123.99974399999999,False,True,True,True,True,,,,
b265c10ce.jpg,10.000128,False,True,False,True,False,1.0,4.0,9.0,6.0
b2a9baf05.jpg,15.999744,True,True,False,False,True,1.0,4.0,9.0,6.0
b2eb00597.jpg,25.999872000000003,False,False,True,True,True,1.0,4.0,9.0,6.0
b2f3df87d.jpg,24.0,False,True,False,False,False,1.0,4.0,9.0,6.0
b4b0e7436.jpg,13.999872,False,True,False,True,False,,,,
b4b0e7436.jpg,70.000128,False,True,True,True,True,,,,
b4b0e7436.jpg,179.000064,True,True,False,True,False,1.0,4.0,9.0,8.0
b98b44064.jpg,42.000384,False,True,True,True,True,,,,
b98b44064.jpg,55.00032,False,True,True,True,True,,,,
b98b44064.jpg,47.000064,False,True,True,True,True,,,,
b98b44064.jpg,60.999936,False,True,True,True,True,,,,
b98b44064.jpg,45.000192,False,True,True,True,True,,,,
b98b44064.jpg,25.999872000000003,False,True,False,True,False,1.0,4.0,9.0,4.0
baa66afec.jpg,32.000256,False,True,True,True,True,,,,
baa66afec.jpg,8.000256,False,False,False,True,False,1.0,4.0,9.0,4.0
bbc7b8ca2.jpg,159.999744,True,True,True,True,True,1.0,4.0,9.0,6.0
bcdbf2386.jpg,96.0,False,True,True,True,True,1.0,4.0,9.0,4.0
bdc25fbd9.jpg,45.000192,False,True,False,False,False,1.0,4.0,9.0,4.0
